len, median BS, stdev BS, median IS, stdev IS
100,5.51,1.2766753698571927,2.27,1.0474254150057656
200,6.1,1.7406895185529216,2.64,0.9541488353501245
300,6.94,1.3770983988081613,2.96,1.1306635220082053
400,7.05,1.6271140095272982,2.78,1.1881077392223318
500,7.49,1.4525494828060073,2.47,0.9638983348880733
600,7.96,1.420704050814243,2.87,1.0262066068779723
700,8.01,1.5394479530013347,2.8,1.0770329614269014
800,8.21,1.402105559506844,2.92,1.119642800182273
900,8.42,1.56320184237353,2.83,1.1140466776576279
1000,8.29,1.7279756942735045,2.94,1.271377206025026
1100,8.71,1.4919450392021818,3.12,1.2106196760337242
1200,8.88,1.4510685717773644,3.21,1.2352732491234475
1300,8.93,1.576419994798341,3.13,1.188738827497445
1400,9.1,1.292284798332009,3.03,1.1615076409563567
1500,9.34,1.297844366632609,3.03,1.1954497061775544
1600,9.42,1.5374004032782087,3.31,1.1462547709824382
1700,9.12,1.6987053894068862,3.13,1.119419492415601
1800,9.2,1.6248076809271927,3.03,1.1615076409563567
1900,9.4,1.5099668870541512,3.2,1.0954451150103326
2000,9.4,1.5874507866387557,2.99,1.0343597053249907
2100,9.55,1.3518505834595764,3.15,1.013656746635664
2200,9.7,1.5716233645501712,3.3,1.2206555615733703
2300,9.8,1.5491933384829673,3.33,1.140657705010579
2400,9.79,1.4233411397131754,3.35,1.3143439428094923
2500,9.86,1.5557634781675513,3.21,1.2189749792346027
2600,10.26,1.3009227494359532,3.28,1.0400000000000003
2700,10.04,1.4894294209528693,3.39,1.1479982578384
2800,9.75,1.7965244223221681,3.45,1.1694015563526499
2900,10.46,1.1783038657324356,3.23,1.4889929482707427
3000,10.26,1.616292052817188,3.24,1.175755076535925
3100,10.2,1.5231546211727827,2.99,1.0246462804304721
3200,10.41,1.6498181717995464,3.32,1.028396810574596
3300,10.22,1.4112405889854491,3.24,1.2092973166264778
3400,10.55,1.409787217987168,3.38,1.2867012085173466
3500,10.33,1.7032615770926094,3.31,1.1806354221350472
3600,10.36,1.7917589123540039,3.42,1.2975361266646877
3700,10.61,1.482531618549837,3.38,1.1643023662262308
3800,10.48,1.5841717078650277,3.27,1.1300884921102419
3900,10.46,1.757384420097094,3.31,1.0834666584625485
4000,10.52,1.4386104406683555,3.28,1.0961751684835779
4100,10.49,1.5264009958068032,3.65,1.1947803145348526
4200,10.79,1.3061010680647958,3.23,1.0941206514822759
4300,10.63,1.735828332526002,3.2,1.1916375287812984
4400,10.74,1.5660140484682756,3.28,1.1142710621747298
4500,10.61,1.5867892109539934,3.35,1.3444329659748755
4600,10.47,1.693841787180846,3.22,1.1187493016757601
4700,10.97,1.5261389189716645,3.52,1.2039933554633928
4800,10.77,1.7768230075052496,3.4,1.3266499161421597
4900,10.75,1.6393596310755,3.4,1.0583005244258357
5000,10.72,1.6067358214715943,3.32,1.1565465835840771
5100,10.72,1.6797618878876845,3.52,1.1956588142108098
5200,10.98,1.5098344280085827,3.42,1.0505236789335115
5300,11.06,1.548031007441389,3.33,1.1318568814121333
5400,11.11,1.448412924548798,3.3,1.0148891565092224
5500,10.92,1.8797872220014697,3.41,1.0591978096654089
5600,10.93,2.0700483086150427,3.26,0.9013323471395
5700,11.01,1.6702993743637693,3.28,1.1496086290559933
5800,11.06,1.8155990746858193,3.49,1.1179892664958815
5900,11.01,1.4106381534610508,3.54,1.3668942899873422
6000,11.07,1.5700636929755438,3.4,1.0954451150103315
6100,11.31,1.7186913626361187,3.42,1.2663332894621384
6200,11.36,1.791758912354003,3.46,1.0992724866929044
6300,11.21,1.511919310016246,3.25,1.0897247358851685
6400,11.5,1.3674794331177345,3.63,1.2462343278854096
6500,11.22,1.66481230173254,3.45,1.2678722333105963
6600,11.44,1.4374978260853126,3.3,1.1357816691600549
6700,11.31,1.4946236984605865,3.22,1.16258333034669
6800,11.18,1.716857594560481,3.63,1.1802965729002182
6900,11.41,1.6558683522550934,3.37,1.0455142275454694
7000,11.46,1.3958509949131395,3.49,1.1357376457615551
7100,11.12,1.6987053894068866,3.66,1.1594826432508591
7200,11.49,1.6461773901982741,3.53,1.0904586191139949
7300,11.41,1.5626579920123274,3.42,1.1417530380953667
7400,11.67,1.175202110277207,3.56,1.185917366429887
7500,11.4,1.7262676501632075,3.52,1.228657804272613
7600,11.29,1.5510963864312242,3.57,1.2186467905016614
7700,11.44,1.7281203661782367,3.38,1.2147427711248169
7800,11.45,1.4517231140957971,3.4,1.0862780491200212
7900,11.51,1.664301655349775,3.73,1.1987910576910392
8000,11.48,1.5904716281656825,3.37,1.0164152694642083
8100,11.82,1.2835887191776028,3.19,0.9969453345093705
8200,11.24,1.8661189672687002,3.48,1.228657804272614
8300,11.57,1.5248278591368944,3.44,1.177454882362802
8400,11.47,1.8517829246431659,3.45,1.0988630487917956
8500,11.69,1.3167763667381038,3.52,1.1088733020503287
8600,11.53,1.4863041411501217,3.42,1.0879338215167316
8700,11.48,1.64,3.66,1.274519517308385
8800,11.48,1.6029971927611097,3.34,1.0790736768172964
8900,11.63,1.5469647701224485,3.71,1.2107435731813738
9000,11.67,1.7438749955200346,3.49,1.0816191566350881
9100,11.64,1.688312767232423,3.47,1.2446284586172696
9200,11.81,1.4946236984605865,3.47,1.0812492774564062
9300,11.85,1.444818327679989,3.5,1.1357816691600546
9400,11.79,1.5185190153567394,3.42,1.0215674231297707
9500,11.95,1.3294735800308328,3.48,1.1872657663724664
9600,11.94,1.690088755065841,3.5,1.118033988749895
9700,12.07,1.6015929570274716,3.4,1.1224972160321818
9800,11.34,1.7562459964367174,3.77,1.231706133783541
9900,11.71,1.9094239969163476,3.37,1.3390668392578464
10000,11.93,1.4089357685856374,3.62,1.1981652640600127
10100,11.75,1.49248115565993,3.59,1.0685972113008717
10200,11.87,1.507680337472105,3.35,1.0618380290797653
10300,11.98,1.7086837039077778,3.64,1.0537551897855584
10400,12.03,1.5903144343179434,3.5,1.02469507659596
