BASIS: 2
size, t_bf, t_bm, t_rk
10000, 0.213100, 0.287100, 0.065900,
15000, 0.262400, 0.403000, 0.083400,
20000, 0.384200, 0.341400, 0.112400,
25000, 0.436200, 0.519600, 0.133700,
30000, 0.510000, 0.563500, 0.165500,
35000, 0.617700, 0.631200, 0.202200,
40000, 0.640800, 0.719200, 0.193800,
45000, 0.708600, 0.715300, 0.196500,
50000, 0.779200, 0.864000, 0.213000,
55000, 0.863400, 0.953900, 0.240000,
60000, 0.970900, 1.028600, 0.297600,
65000, 0.987500, 0.958400, 0.261300,
70000, 1.078500, 1.162700, 0.287900,
75000, 1.295100, 1.243300, 0.307600,
80000, 1.262200, 1.290300, 0.331000,
85000, 1.537200, 1.597800, 0.373800,
90000, 1.761600, 1.654000, 0.373700,
95000, 1.991600, 1.554700, 0.397100,
100000, 2.055200, 1.706900, 0.409800,

BASIS: 8
size, t_bf, t_bm, t_rk
10000, 0.114600, 0.158600, 0.049600,
15000, 0.157700, 0.182000, 0.067900,
20000, 0.208000, 0.252400, 0.086500,
25000, 0.258800, 0.328300, 0.111200,
30000, 0.332800, 0.429100, 0.133100,
35000, 0.352700, 0.453200, 0.140400,
40000, 0.401800, 0.522700, 0.167000,
45000, 0.445600, 0.617200, 0.182200,
50000, 0.514400, 0.536500, 0.200700,
55000, 0.611700, 0.779200, 0.236200,
60000, 0.618000, 0.759200, 0.250900,
65000, 0.651700, 0.768800, 0.255300,
70000, 0.728500, 0.980300, 0.305300,
75000, 0.775400, 0.823100, 0.304200,
80000, 0.771200, 0.920900, 0.313900,
85000, 1.128100, 1.004100, 0.360100,
90000, 1.288500, 0.989600, 0.439800,
95000, 1.271300, 1.191500, 0.404200,
100000, 1.305800, 1.260900, 0.411300,

BASIS: 23
size, t_bf, t_bm, t_rk
10000, 0.105700, 0.171000, 0.048700,
15000, 0.133500, 0.220600, 0.058600,
20000, 0.195200, 0.309100, 0.077800,
25000, 0.223100, 0.369800, 0.098800,
30000, 0.335900, 0.416800, 0.110100,
35000, 0.370400, 0.485300, 0.130200,
40000, 0.357700, 0.564000, 0.144800,
45000, 0.396000, 0.628500, 0.177800,
50000, 0.479400, 0.827600, 0.209800,
55000, 0.494300, 0.742400, 0.194200,
60000, 0.573200, 0.814900, 0.211800,
65000, 0.567900, 0.855700, 0.228700,
70000, 0.662000, 1.037900, 0.259300,
75000, 0.704900, 1.003800, 0.271600,
80000, 0.772100, 1.104900, 0.286000,
85000, 0.920900, 1.106100, 0.292500,
90000, 1.076400, 1.189300, 0.314800,
95000, 1.206500, 1.314200, 0.368600,
100000, 1.207400, 1.394300, 0.397800,
